Alignment_143:	D01	31,751 	8,406,991 	K01	182,116,160 	199,844,957 
Alignment_144:	D01	8,719,095 	17,833,030 	K01	151,458,220 	180,617,960 
Alignment_129:	D01	17,858,448 	21,531,722 	K01	99,644,714 	116,248,193 
Alignment_149:	D01	21,910,984 	22,289,080 	K01	123,716,344 	126,045,880 
Alignment_139:	D01	22,300,678 	22,578,236 	K01	121,824,483 	122,853,258 
Alignment_148:	D01	22,638,559 	23,582,607 	K01	126,642,818 	130,812,258 
Alignment_141:	D01	23,949,294 	25,041,076 	K01	140,199,388 	143,131,391 
Alignment_147:	D01	24,427,535 	26,459,198 	K01	131,464,151 	145,269,328 
Alignment_132:	D01	26,507,305 	31,601,465 	K01	88,505,784 	98,011,851 
Alignment_146:	D01	31,743,886 	33,266,200 	K01	74,807,555 	80,573,326 
Alignment_135:	D01	33,559,736 	34,867,542 	K01	67,055,636 	73,932,304 
Alignment_133:	D01	34,926,017 	36,870,515 	K01	38,946,700 	49,666,110 
Alignment_134:	D01	36,997,730 	37,796,486 	K01	62,989,343 	65,032,836 
Alignment_145:	D01	37,921,521 	41,572,241 	K01	19,523,104 	35,383,423 
Alignment_131:	D01	41,632,451 	43,235,258 	K01	53,669,791 	62,415,379 
Alignment_130:	D01	43,283,504 	44,352,724 	K01	49,762,380 	53,421,926 
Alignment_142:	D01	44,478,209 	52,327,657 	K01	2,782 	18,808,811 
Alignment_220:	D02	41,720 	5,432,234 	K02	127,818,827 	139,543,726 
Alignment_224:	D02	6,313,372 	14,952,346 	K02	95,540,400 	127,798,056 
Alignment_215:	D02	15,253,520 	18,830,145 	K02	80,620,353 	94,347,648 
Alignment_216:	D02	19,829,445 	22,077,435 	K02	69,560,929 	80,200,889 
Alignment_225:	D02	22,029,292 	28,633,619 	K02	51,372,745 	71,140,280 
Alignment_214:	D02	29,029,270 	30,603,840 	K02	46,667,543 	50,821,097 
Alignment_221:	D02	30,742,835 	40,881,588 	K02	15,080,657 	44,030,588 
Alignment_213:	D02	40,726,821 	42,437,208 	K02	10,630,187 	14,856,871 
Alignment_222:	D02	42,594,408 	45,688,971 	K02	3,247,325 	9,747,691 
Alignment_223:	D02	46,033,781 	48,270,500 	K02	314,360 	3,200,262 
Alignment_317:	D03	44,537 	2,867,758 	K03	202,349,263 	205,676,039 
Alignment_305:	D03	2,929,644 	3,410,551 	K03	201,046,806 	201,751,127 
Alignment_316:	D03	3,707,095 	9,285,322 	K03	184,700,515 	200,992,027 
Alignment_324:	D03	10,005,387 	11,167,064 	K03	178,964,495 	184,247,815 
Alignment_307:	D03	12,055,373 	13,294,874 	K03	173,131,324 	178,375,339 
Alignment_322:	D03	13,348,606 	15,301,171 	K03	167,638,439 	175,311,865 
Alignment_320:	D03	16,923,680 	20,957,589 	K03	91,584,614 	107,552,528 
Alignment_312:	D03	21,065,682 	22,102,359 	K03	108,532,103 	113,874,922 
Alignment_326:	D03	22,235,200 	22,939,061 	K03	117,307,208 	120,023,649 
Alignment_306:	D03	23,150,017 	24,785,188 	K03	146,825,617 	154,100,389 
Alignment_309:	D03	24,994,475 	27,408,854 	K03	116,527,376 	124,824,363 
Alignment_321:	D03	27,437,969 	33,458,739 	K03	128,693,339 	146,584,622 
Alignment_311:	D03	33,509,928 	34,354,877 	K03	86,238,869 	88,504,398 
Alignment_323:	D03	34,525,431 	36,762,400 	K03	154,156,876 	165,007,844 
Alignment_304:	D03	38,543,110 	39,678,168 	K03	78,304,225 	82,505,646 
Alignment_318:	D03	39,808,131 	46,569,524 	K03	50,447,470 	77,995,195 
Alignment_319:	D03	46,673,175 	49,850,273 	K03	32,653,321 	45,899,363 
Alignment_310:	D03	49,938,938 	50,779,490 	K03	46,583,918 	50,321,004 
Alignment_315:	D03	50,826,077 	63,013,692 	K03	29,105 	31,411,318 
Alignment_399:	D04	3,935 	17,708,318 	K04	113,414,430 	177,812,792 
Alignment_396:	D04	17,776,403 	24,700,079 	K04	71,521,539 	99,807,560 
Alignment_398:	D04	24,967,863 	25,714,226 	K04	60,699,538 	62,139,640 
Alignment_403:	D04	25,755,586 	27,043,437 	K04	106,570,896 	109,295,874 
Alignment_397:	D04	27,499,739 	29,429,557 	K04	63,274,822 	71,262,651 
Alignment_404:	D04	29,543,065 	30,148,011 	K04	102,086,294 	104,514,876 
Alignment_395:	D04	30,724,314 	38,106,136 	K04	33,070,544 	60,994,825 
Alignment_400:	D04	38,102,671 	50,640,092 	K04	42,225 	30,696,403 
Alignment_516:	D05	943,644 	2,823,703 	K06	158,507,705 	191,474,964 
Alignment_517:	D05	2,677,167 	4,416,312 	K06	123,861,462 	157,179,084 
Alignment_514:	D05	4,447,168 	4,580,202 	K06	119,107,514 	120,049,274 
Alignment_511:	D05	4,695,071 	4,940,386 	K06	113,445,025 	116,484,820 
Alignment_518:	D05	9,000,895 	14,301,814 	K06	178,621 	4,254,391 
