,group,group_name,seqnames,start,end,width,strand,score,score
1,1,PC1,LG07,150001,200000,50000,*,-0.022,0.022
2,1,PC1,LG07,250001,300000,50000,*,-0.021,0.021
3,1,PC1,LG07,350001,400000,50000,*,-0.022,0.022
4,1,PC1,LG07,400001,450000,50000,*,-0.022,0.022
5,1,PC1,LG07,450001,500000,50000,*,-0.022,0.022
6,1,PC1,LG07,500001,550000,50000,*,-0.023,0.023
7,1,PC1,LG07,600001,650000,50000,*,-0.023,0.023
8,1,PC1,LG07,650001,700000,50000,*,-0.021,0.021
9,1,PC1,LG07,700001,750000,50000,*,-0.022,0.022
10,1,PC1,LG07,750001,800000,50000,*,-0.022,0.022
11,1,PC1,LG07,1250001,1300000,50000,*,-0.022,0.022
12,1,PC1,LG07,1450001,1500000,50000,*,-0.022,0.022
13,1,PC1,LG07,1550001,1600000,50000,*,-0.022,0.022
14,1,PC1,LG07,1600001,1650000,50000,*,-0.022,0.022
15,1,PC1,LG07,1700001,1750000,50000,*,-0.022,0.022
16,1,PC1,LG07,2400001,2450000,50000,*,-0.02,0.02
17,1,PC1,LG07,2500001,2550000,50000,*,-0.022,0.022
18,1,PC1,LG07,2550001,2600000,50000,*,-0.021,0.021
19,1,PC1,LG07,2600001,2650000,50000,*,-0.022,0.022
20,1,PC1,LG07,2650001,2700000,50000,*,-0.022,0.022
21,1,PC1,LG07,3050001,3100000,50000,*,-0.021,0.021
22,1,PC1,LG07,3100001,3150000,50000,*,-0.02,0.02
23,1,PC1,LG07,4350001,4400000,50000,*,-0.021,0.021
24,1,PC1,LG07,4400001,4450000,50000,*,-0.023,0.023
25,1,PC1,LG07,4700001,4750000,50000,*,-0.022,0.022
26,1,PC1,LG07,4750001,4800000,50000,*,-0.022,0.022
27,1,PC1,LG07,4900001,4950000,50000,*,-0.023,0.023
28,1,PC1,LG07,5000001,5050000,50000,*,-0.022,0.022
29,1,PC1,LG07,5050001,5100000,50000,*,-0.021,0.021
30,1,PC1,LG07,5100001,5150000,50000,*,-0.022,0.022
31,1,PC1,LG07,5150001,5200000,50000,*,-0.022,0.022
32,1,PC1,LG07,5200001,5250000,50000,*,-0.022,0.022
33,1,PC1,LG07,5250001,5300000,50000,*,-0.023,0.023
34,1,PC1,LG07,5300001,5350000,50000,*,-0.023,0.023
35,1,PC1,LG07,5350001,5400000,50000,*,-0.022,0.022
36,1,PC1,LG07,5400001,5450000,50000,*,-0.021,0.021
37,1,PC1,LG07,5450001,5500000,50000,*,-0.021,0.021
38,1,PC1,LG07,5500001,5550000,50000,*,-0.022,0.022
39,1,PC1,LG07,5550001,5600000,50000,*,-0.02,0.02
40,1,PC1,LG07,5600001,5650000,50000,*,-0.023,0.023
41,1,PC1,LG07,5650001,5700000,50000,*,-0.021,0.021
42,1,PC1,LG07,5700001,5750000,50000,*,-0.022,0.022
43,1,PC1,LG07,5750001,5800000,50000,*,-0.017,0.017
44,1,PC1,LG07,5800001,5850000,50000,*,-0.018,0.018
45,1,PC1,LG07,5850001,5900000,50000,*,-0.022,0.022
46,1,PC1,LG07,5900001,5950000,50000,*,-0.021,0.021
47,1,PC1,LG07,5950001,6000000,50000,*,-0.022,0.022
48,1,PC1,LG07,6050001,6100000,50000,*,-0.022,0.022
49,1,PC1,LG07,6100001,6150000,50000,*,-0.021,0.021
50,1,PC1,LG07,6150001,6200000,50000,*,-0.02,0.02
51,1,PC1,LG07,6200001,6250000,50000,*,-0.023,0.023
52,1,PC1,LG07,6250001,6300000,50000,*,-0.019,0.019
53,1,PC1,LG07,6300001,6350000,50000,*,-0.02,0.02
54,1,PC1,LG07,6350001,6400000,50000,*,-0.015,0.015
55,1,PC1,LG07,6400001,6450000,50000,*,-0.017,0.017
56,1,PC1,LG07,6450001,6500000,50000,*,-0.005,0.005
57,1,PC1,LG07,6500001,6550000,50000,*,-0.014,0.014
58,1,PC1,LG07,6600001,6650000,50000,*,-0.019,0.019
59,1,PC1,LG07,6700001,6750000,50000,*,-0.016,0.016
60,1,PC1,LG07,6750001,6800000,50000,*,-0.011,0.011
61,1,PC1,LG07,6850001,6900000,50000,*,-0.006,0.006
62,1,PC1,LG07,6950001,7000000,50000,*,-0.008,0.008
63,1,PC1,LG07,7000001,7050000,50000,*,0.012,-0.012
64,1,PC1,LG07,7050001,7100000,50000,*,0.007,-0.007
65,1,PC1,LG07,7100001,7150000,50000,*,0.003,-0.003
66,1,PC1,LG07,7150001,7200000,50000,*,0.009,-0.009
67,1,PC1,LG07,7200001,7250000,50000,*,0.01,-0.01
68,1,PC1,LG07,7250001,7300000,50000,*,0.016,-0.016
69,1,PC1,LG07,7300001,7350000,50000,*,0.017,-0.017
70,1,PC1,LG07,7350001,7400000,50000,*,-0.011,0.011
71,1,PC1,LG07,7400001,7450000,50000,*,-0.019,0.019
72,1,PC1,LG07,7450001,7500000,50000,*,-0.02,0.02
73,1,PC1,LG07,7500001,7550000,50000,*,-0.021,0.021
74,1,PC1,LG07,7550001,7600000,50000,*,-0.018,0.018
75,1,PC1,LG07,7600001,7650000,50000,*,-0.02,0.02
76,1,PC1,LG07,7650001,7700000,50000,*,-0.02,0.02
77,1,PC1,LG07,7700001,7750000,50000,*,-0.022,0.022
78,1,PC1,LG07,7750001,7800000,50000,*,-0.022,0.022
79,1,PC1,LG07,7800001,7850000,50000,*,-0.018,0.018
80,1,PC1,LG07,7850001,7900000,50000,*,-0.017,0.017
81,1,PC1,LG07,7900001,7950000,50000,*,-0.015,0.015
82,1,PC1,LG07,7950001,8000000,50000,*,-0.02,0.02
83,1,PC1,LG07,8000001,8050000,50000,*,-0.024,0.024
84,1,PC1,LG07,8050001,8100000,50000,*,-0.022,0.022
85,1,PC1,LG07,8100001,8150000,50000,*,-0.023,0.023
86,1,PC1,LG07,8150001,8200000,50000,*,-0.018,0.018
87,1,PC1,LG07,8200001,8250000,50000,*,-0.023,0.023
88,1,PC1,LG07,8250001,8300000,50000,*,-0.022,0.022
89,1,PC1,LG07,8300001,8350000,50000,*,-0.02,0.02
90,1,PC1,LG07,8350001,8400000,50000,*,-0.016,0.016
91,1,PC1,LG07,8400001,8450000,50000,*,-0.015,0.015
92,1,PC1,LG07,8450001,8500000,50000,*,-0.013,0.013
93,1,PC1,LG07,8500001,8550000,50000,*,-0.017,0.017
94,1,PC1,LG07,8550001,8600000,50000,*,-0.021,0.021
95,1,PC1,LG07,8600001,8650000,50000,*,-0.02,0.02
96,1,PC1,LG07,8650001,8700000,50000,*,-0.017,0.017
97,1,PC1,LG07,8700001,8750000,50000,*,0.012,-0.012
98,1,PC1,LG07,8750001,8800000,50000,*,0.019,-0.019
99,1,PC1,LG07,8800001,8850000,50000,*,0.019,-0.019
100,1,PC1,LG07,8850001,8900000,50000,*,0.02,-0.02
101,1,PC1,LG07,8900001,8950000,50000,*,0.02,-0.02
102,1,PC1,LG07,8950001,9000000,50000,*,0.021,-0.021
103,1,PC1,LG07,9000001,9050000,50000,*,0.012,-0.012
104,1,PC1,LG07,9050001,9100000,50000,*,0.019,-0.019
105,1,PC1,LG07,9100001,9150000,50000,*,0.018,-0.018
106,1,PC1,LG07,9150001,9200000,50000,*,0.018,-0.018
107,1,PC1,LG07,9200001,9250000,50000,*,0.02,-0.02
108,1,PC1,LG07,9250001,9300000,50000,*,0.022,-0.022
109,1,PC1,LG07,9300001,9350000,50000,*,0.022,-0.022
110,1,PC1,LG07,9350001,9400000,50000,*,0.018,-0.018
111,1,PC1,LG07,9400001,9450000,50000,*,0.018,-0.018
112,1,PC1,LG07,9450001,9500000,50000,*,0.018,-0.018
113,1,PC1,LG07,9500001,9550000,50000,*,0.017,-0.017
114,1,PC1,LG07,9550001,9600000,50000,*,0.012,-0.012
115,1,PC1,LG07,9600001,9650000,50000,*,0.019,-0.019
116,1,PC1,LG07,9650001,9700000,50000,*,-0.008,0.008
117,1,PC1,LG07,9700001,9750000,50000,*,0.006,-0.006
118,1,PC1,LG07,9750001,9800000,50000,*,0.02,-0.02
119,1,PC1,LG07,9800001,9850000,50000,*,0.021,-0.021
120,1,PC1,LG07,9850001,9900000,50000,*,0.017,-0.017
121,1,PC1,LG07,9900001,9950000,50000,*,0.021,-0.021
122,1,PC1,LG07,9950001,10000000,50000,*,0.02,-0.02
123,1,PC1,LG07,10000001,10050000,50000,*,0.021,-0.021
124,1,PC1,LG07,10050001,10100000,50000,*,0.022,-0.022
125,1,PC1,LG07,10100001,10150000,50000,*,0.022,-0.022
126,1,PC1,LG07,10150001,10200000,50000,*,0.021,-0.021
127,1,PC1,LG07,10200001,10250000,50000,*,0.022,-0.022
128,1,PC1,LG07,10250001,10300000,50000,*,0.022,-0.022
129,1,PC1,LG07,10300001,10350000,50000,*,0.022,-0.022
130,1,PC1,LG07,10350001,10400000,50000,*,0.021,-0.021
131,1,PC1,LG07,10400001,10450000,50000,*,0.021,-0.021
132,1,PC1,LG07,10450001,10500000,50000,*,0.021,-0.021
133,1,PC1,LG07,10500001,10550000,50000,*,0.021,-0.021
134,1,PC1,LG07,10550001,10600000,50000,*,0.022,-0.022
